timestamp,step,tag,value,source_file,relative_path,experiment,datetime
1749618312.8266828,0,LR,0.0010000000474974513,events.out.tfevents.1749615572.Ayushs-MacBook-Pro-2.local.14937.0,transformer_run\logs\events.out.tfevents.1749615572.Ayushs-MacBook-Pro-2.local.14937.0,transformer_run,2025-06-11 05:05:12.826682806
1749584669.3187997,1,Loss/train,1.8015365600585938,events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1\logs\events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1,2025-06-10 19:44:29.318799734
1749584669.3187997,1,Loss/val,2.1197309494018555,events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1\logs\events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1,2025-06-10 19:44:29.318799734
1749584669.3187997,1,Accuracy/train,0.6076759099960327,events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1\logs\events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1,2025-06-10 19:44:29.318799734
1749584669.3187997,1,Accuracy/val,0.5527653098106384,events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1\logs\events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1,2025-06-10 19:44:29.318799734
1749584669.3187997,1,BLEU/val,0.10847040265798569,events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1\logs\events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1,2025-06-10 19:44:29.318799734
1749584669.3187997,1,LR,0.0010000000474974513,events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1\logs\events.out.tfevents.1749582302.Eli-Alien-x14.25968.0,exp1,2025-06-10 19:44:29.318799734
1749599686.9252076,1,Loss/train,2.0864150524139404,events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2\logs\events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2,2025-06-10 23:54:46.925207615
1749599686.9252076,1,Loss/val,2.4891741275787354,events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2\logs\events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2,2025-06-10 23:54:46.925207615
1749599686.9252076,1,Accuracy/train,0.5542281866073608,events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2\logs\events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2,2025-06-10 23:54:46.925207615
1749599686.9252076,1,Accuracy/val,0.4886671006679535,events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2\logs\events.out.tfevents.1749597899.Eli-Alien-x14.7080.0,exp2,2025-06-10 23:54:46.925207615
